QUERY_ID,USER_NAME,QUERY_TEXT,DATABASE_NAME,SCHEMA_NAME,START_TIME,END_TIME,TOTAL_ELAPSED_TIME
01bbe30b-0004-b890-0003-b05e000237a2,SHRISTIKUMAR,ROLLBACK,FINAL_PROJECT,PUBLIC,2025-04-23 11:51:15.747 -0700,2025-04-23 11:51:15.948 -0700,201
01bbe30b-0004-bb6a-0003-b05e0004605a,SHRISTIKUMAR,"SSELECT *
FROM FACT_INDUSTRY fi
JOIN DIM_INDUSTRY di ON fi.INDUSTRY_ID = di.INDUSTRY_ID
WHERE di.INDUSTRY = 'Restaurants & Food'
  AND EXTRACT(YEAR FROM fi.DATE_KEY) = 2022;",FINAL_PROJECT,PUBLIC,2025-04-23 11:51:15.617 -0700,2025-04-23 11:51:15.664 -0700,47
01bbe301-0004-b9b4-0003-b05e0002a792,SHRISTIKUMAR,"SELECT 
    di.INDUSTRY,
    EXTRACT(YEAR FROM fi.DATE_KEY) AS YEAR,
    SUM(fi.POSITIVE_COUNT) AS POSITIVE_COUNT,
    SUM(fi.NEGATIVE_COUNT) AS NEGATIVE_COUNT,
    SUM(fi.NEUTRAL_COUNT) AS NEUTRAL_COUNT
FROM FACT_INDUSTRY fi
JOIN DIM_INDUSTRY di ON fi.INDUSTRY_ID = di.INDUSTRY_ID
GROUP BY di.INDUSTRY, EXTRACT(YEAR FROM fi.DATE_KEY)
ORDER BY di.INDUSTRY, YEAR;",FINAL_PROJECT,PUBLIC,2025-04-23 11:41:28.424 -0700,2025-04-23 11:41:28.553 -0700,129
01bbe300-0004-b890-0003-b05e0002379e,SHRISTIKUMAR,"SELECT 
    di.INDUSTRY,
    EXTRACT(YEAR FROM fi.DATE_KEY) AS YEAR,
    SUM(fi.POSITIVE_COUNT) AS POSITIVE_COUNT,
    SUM(fi.NEGATIVE_COUNT) AS NEGATIVE_COUNT,
    SUM(fi.NEUTRAL_COUNT) AS NEUTRAL_COUNT
FROM FACT_INDUSTRY fi
JOIN DIM_INDUSTRY di ON fi.INDUSTRY_ID = di.INDUSTRY_ID
GROUP BY di.INDUSTRY, EXTRACT(YEAR FROM fi.DATE_KEY)
ORDER BY di.INDUSTRY, YEAR;",FINAL_PROJECT,PUBLIC,2025-04-23 11:40:07.858 -0700,2025-04-23 11:40:08.136 -0700,278
01bbe2fe-0004-b890-0003-b05e0002379a,SHRISTIKUMAR,"SELECT 
    di.INDUSTRY,
    EXTRACT(YEAR FROM fi.DATE_KEY) AS YEAR,
    SUM(fi.POSITIVE_COUNT) AS POSITIVE_COUNT,
    SUM(fi.NEGATIVE_COUNT) AS NEGATIVE_COUNT,
    SUM(fi.NEUTRAL_COUNT) AS NEUTRAL_COUNT
FROM FACT_INDUSTRY fi
JOIN DIM_INDUSTRY di ON fi.INDUSTRY_ID = di.INDUSTRY_ID
GROUP BY di.INDUSTRY, EXTRACT(YEAR FROM fi.DATE_KEY)
ORDER BY di.INDUSTRY, YEAR;",FINAL_PROJECT,PUBLIC,2025-04-23 11:38:36.427 -0700,2025-04-23 11:38:36.594 -0700,167
01bbe2fe-0004-bb6a-0003-b05e00046056,SHRISTIKUMAR,"SELECT 
    di.INDUSTRY,
    EXTRACT(YEAR FROM fi.DATE_KEY) AS YEAR,
    SUM(fi.POSITIVE_COUNT) AS POSITIVE_COUNT,
    SUM(fi.NEGATIVE_COUNT) AS NEGATIVE_COUNT,
    SUM(fi.NEUTRAL_COUNT) AS NEUTRAL_COUNT
FROM FACT_INDUSTRY fi
JOIN DIM_INDUSTRY di ON fi.INDUSTRY_ID = di.INDUSTRY_ID
GROUP BY di.INDUSTRY, EXTRACT(YEAR FROM fi.DATE_KEY)
ORDER BY di.INDUSTRY, YEAR;",FINAL_PROJECT,PUBLIC,2025-04-23 11:38:06.902 -0700,2025-04-23 11:38:07.061 -0700,159
01bbe2fd-0004-b9b4-0003-b05e0002a78e,SHRISTIKUMAR,"SELECT 
    di.INDUSTRY,
    EXTRACT(YEAR FROM fi.DATE_KEY) AS YEAR,
    SUM(fi.POSITIVE_COUNT) AS POSITIVE_COUNT,
    SUM(fi.NEGATIVE_COUNT) AS NEGATIVE_COUNT,
    SUM(fi.NEUTRAL_COUNT) AS NEUTRAL_COUNT
FROM FACT_INDUSTRY fi
JOIN DIM_INDUSTRY di ON fi.INDUSTRY_ID = di.INDUSTRY_ID
GROUP BY di.INDUSTRY, EXTRACT(YEAR FROM fi.DATE_KEY)
ORDER BY di.INDUSTRY, YEAR;",FINAL_PROJECT,PUBLIC,2025-04-23 11:37:45.616 -0700,2025-04-23 11:37:45.743 -0700,127
01bbe2fc-0004-bdf1-0003-b05e00048066,SHRISTIKUMAR,"SELECT 
    di.INDUSTRY,
    EXTRACT(YEAR FROM fi.DATE_KEY) AS YEAR,
    SUM(fi.POSITIVE_COUNT) AS POSITIVE_COUNT,
    SUM(fi.NEGATIVE_COUNT) AS NEGATIVE_COUNT,
    SUM(fi.NEUTRAL_COUNT) AS NEUTRAL_COUNT
FROM FACT_INDUSTRY fi
JOIN DIM_INDUSTRY di ON fi.INDUSTRY_ID = di.INDUSTRY_ID
GROUP BY di.INDUSTRY, EXTRACT(YEAR FROM fi.DATE_KEY)
ORDER BY di.INDUSTRY, YEAR;",FINAL_PROJECT,PUBLIC,2025-04-23 11:36:47.992 -0700,2025-04-23 11:36:48.059 -0700,67
01bbe2f9-0004-bdf1-0003-b05e00048062,SHRISTIKUMAR,"SELECT 
    di.INDUSTRY,
    EXTRACT(YEAR FROM fi.DATE_KEY) AS YEAR,
    SUM(fi.POSITIVE_COUNT) AS POSITIVE_COUNT,
    SUM(fi.NEGATIVE_COUNT) AS NEGATIVE_COUNT,
    SUM(fi.NEUTRAL_COUNT) AS NEUTRAL_COUNT
FROM FACT_INDUSTRY fi
JOIN DIM_INDUSTRY di ON fi.INDUSTRY_ID = di.INDUSTRY_ID
GROUP BY di.INDUSTRY, EXTRACT(YEAR FROM fi.DATE_KEY)
ORDER BY di.INDUSTRY, YEAR;",FINAL_PROJECT,PUBLIC,2025-04-23 11:33:59.710 -0700,2025-04-23 11:33:59.772 -0700,62
01bbe2f9-0004-b8cf-0003-b05e0002982a,SHRISTIKUMAR,"SELECT 
    di.INDUSTRY,
    EXTRACT(YEAR FROM fi.DATE_KEY) AS YEAR,
    SUM(fi.POSITIVE_COUNT) AS POSITIVE_COUNT,
    SUM(fi.NEGATIVE_COUNT) AS NEGATIVE_COUNT,
    SUM(fi.NEUTRAL_COUNT) AS NEUTRAL_COUNT
FROM FACT_INDUSTRY fi
JOIN DIM_INDUSTRY di ON fi.INDUSTRY_ID = di.INDUSTRY_ID
GROUP BY di.INDUSTRY, EXTRACT(YEAR FROM fi.DATE_KEY)
ORDER BY di.INDUSTRY, YEAR;",FINAL_PROJECT,PUBLIC,2025-04-23 11:33:03.554 -0700,2025-04-23 11:33:03.624 -0700,70
